Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
CH Gayle,2012-2019,7,7,0,136,35,19.42,88,154.54,0,0,0,12,10
MS Dhoni,2008-2024,9,9,2,135,37,19.28,104,129.8,0,0,0,13,4
WP Saha,2008-2019,11,9,1,133,54,16.62,95,140,0,1,1,16,4
Mandeep Singh,2012-2018,5,5,1,131,75,32.75,101,129.7,0,1,0,15,3
SPD Smith,2016-2019,4,3,1,131,51,65.5,125,104.8,0,1,0,9,2
DT Christian,2011-2018,10,10,3,130,30,18.57,101,128.71,0,0,1,8,5
Prabhsimran Singh,2019-2025,4,4,0,129,71,32.25,86,150,0,1,1,15,6
Q de Kock,2013-2024,6,6,0,123,44,20.5,94,130.85,0,0,1,9,8
R Dravid,2008-2013,4,4,0,123,39,30.75,116,106.03,0,0,0,12,2
SC Ganguly,2008-2011,2,2,1,123,91,123,89,138.2,0,1,0,14,6
YBK Jaiswal,2023-2025,3,3,0,122,67,40.66,82,148.78,0,2,0,16,2
LMP Simmons,2014-2017,4,4,0,120,68,30,107,112.14,0,1,0,9,6
B Chipli,2011-2011,7,7,3,118,61*,29.5,87,135.63,0,1,0,13,3
CA Lynn,2012-2019,3,3,0,112,55,37.33,99,113.13,0,2,0,9,4
Shakib Al Hasan,2014-2018,9,5,0,109,35,21.8,99,110.1,0,0,0,13,1
AR Patel,2014-2023,6,5,2,106,36*,35.33,85,124.7,0,0,0,8,3
NLTC Perera,2013-2016,9,6,2,104,30,26,73,142.46,0,0,0,5,6
NT Tilak Varma,2023-2025,3,3,1,103,64,51.5,53,194.33,0,1,0,4,10
V Shankar,2017-2019,9,8,3,102,35,20.4,70,145.71,0,0,0,4,5
C Green,2023-2024,2,2,2,101,64*,-,60,168.33,0,1,0,11,2
DR Smith,2013-2017,4,4,0,97,38,24.25,95,102.1,0,0,0,10,4
SA Yadav,2014-2025,7,5,1,97,40*,24.25,78,124.35,0,0,0,9,4
DJ Hussey,2008-2013,3,3,1,95,57*,47.5,69,137.68,0,1,0,6,5
RR Pant,2016-2025,5,5,1,95,39*,23.75,80,118.75,0,0,1,6,4
A Ashish Reddy,2012-2016,15,11,4,93,17,13.28,77,120.77,0,0,0,8,2
RA Jadeja,2008-2024,8,7,5,93,31*,46.5,82,113.41,0,0,0,9,0
DJ Bravo,2008-2019,6,4,1,88,30,29.33,72,122.22,0,0,0,6,3
C de Grandhomme,2017-2019,3,3,0,88,37,29.33,76,115.78,0,0,0,5,5
R Parag,2023-2025,3,3,0,88,77,29.33,57,154.38,0,1,0,10,4
AB de Villiers,2011-2019,7,7,0,86,47,12.28,78,110.25,0,0,2,5,3
SO Hetmyer,2019-2025,4,4,1,86,42,28.66,57,150.87,0,0,0,3,7
KV Sharma,2013-2024,21,10,4,86,39*,14.33,83,103.61,0,0,0,5,2
JH Kallis,2008-2013,3,3,0,85,31,28.33,85,100,0,0,0,12,0
Washington Sundar,2017-2025,7,6,2,85,49,21.25,59,144.06,0,0,1,10,2
MR Marsh,2011-2025,5,3,0,84,52,28,49,171.42,0,1,0,12,3
DJG Sammy,2013-2014,7,7,4,83,23,27.66,75,110.66,0,0,0,1,6
HH Pandya,2015-2025,8,6,0,81,24,13.5,82,98.78,0,0,0,2,4
PC Valthaty,2011-2013,2,2,0,81,75,40.5,64,126.56,0,1,0,8,5
N Rana,2017-2025,5,5,0,80,42,16,66,121.21,0,0,0,9,3
KD Karthik,2008-2024,9,8,2,78,30,13,76,102.63,0,0,2,6,1
MP Stoinis,2023-2025,3,3,1,77,40,38.5,41,187.8,0,0,0,3,7
JC Buttler,2016-2025,6,6,0,76,54,12.66,54,140.74,0,1,2,9,3
RK Singh,2019-2023,2,2,0,76,46,38,60,126.66,0,0,0,5,3
S Sohal,2011-2011,6,5,0,76,38,15.2,66,115.15,0,0,1,9,1
GJ Maxwell,2014-2025,7,7,1,75,43,12.5,55,136.36,0,0,0,6,6
KK Nair,2013-2018,4,4,0,75,33,18.75,66,113.63,0,0,0,8,1
AU Verma,2025-2025,5,4,0,73,36,18.25,44,165.9,0,0,0,3,6
PJ Cummins,2017-2025,12,5,2,72,31,24,31,232.25,0,0,0,4,7
J Botha,2011-2013,3,3,1,71,67*,35.5,58,122.41,0,1,0,8,1
DC Jurel,2024-2025,2,2,0,71,70,35.5,38,186.84,0,1,0,5,6
GC Smith,2008-2008,1,1,0,71,71,71,45,157.77,0,1,0,9,2
AM Nayar,2008-2013,3,3,1,70,38,35,48,145.83,0,0,0,7,2
BB Samantray,2013-2013,3,3,1,70,55,35,60,116.66,0,1,0,8,1
HC Brook,2023-2023,6,6,1,69,27*,13.8,79,87.34,0,0,1,8,1
PP Shaw,2018-2019,2,2,0,69,65,34.5,41,168.29,0,1,0,6,3
HH Gibbs,2008-2008,4,4,0,67,47,16.75,60,111.66,0,0,0,9,2
MEK Hussey,2013-2013,1,1,0,67,67,67,42,159.52,0,1,0,5,4
VVS Laxman,2008-2008,3,3,0,66,48,22,56,117.85,0,0,0,11,0
SR Tendulkar,2008-2013,3,3,0,65,28,21.66,55,118.18,0,0,0,10,0
PN Mankad,2023-2023,1,1,1,64,64*,-,45,142.22,0,1,0,7,2
Shubman Gill,2018-2025,3,3,2,64,61*,64,47,136.17,0,1,0,9,0
A Badoni,2023-2025,3,2,1,61,55*,61,36,169.44,0,1,0,10,0
Shahbaz Ahmed,2023-2024,7,3,1,61,40*,30.5,62,98.38,0,0,0,1,2
KM Jadhav,2013-2019,4,4,1,60,31,20,37,162.16,0,0,0,4,3
DW Steyn,2008-2015,24,10,4,60,19*,10,53,113.2,0,0,1,6,1
BA Stokes,2017-2019,3,3,1,60,39,30,42,142.85,0,0,0,4,3
TH David,2023-2024,2,2,1,58,42*,58,33,175.75,0,0,0,4,3
B Kumar,2011-2024,49,15,4,58,21,5.27,64,90.62,0,0,3,7,1
SP Narine,2013-2023,7,5,0,57,29,11.4,26,219.23,0,0,0,7,4
DPMD Jayawardene,2008-2013,3,2,1,56,45*,56,35,160,0,0,0,7,2
M Vijay,2013-2016,3,3,0,55,29,18.33,41,134.14,0,0,0,6,4
JJ Roy,2017-2023,2,2,0,51,31,25.5,40,127.5,0,0,0,9,0
S Dube,2019-2024,2,2,0,50,45,25,31,161.29,0,0,0,3,4
AD Hales,2018-2018,2,2,0,50,45,25,36,138.88,0,0,0,4,3
A Mishra,2011-2023,27,9,4,50,25*,10,45,111.11,0,0,4,5,0
RM Patidar,2024-2024,1,1,0,50,50,50,20,250,0,1,0,2,5
MK Tiwary,2008-2018,5,4,0,50,33,12.5,46,108.69,0,0,0,5,1
DJ Harris,2012-2012,2,2,0,49,30,24.5,46,106.52,0,0,0,6,1
IK Pathan,2008-2014,8,4,1,49,23*,16.33,55,89.09,0,0,0,3,0
RR Rossouw,2024-2024,1,1,0,49,49,49,24,204.16,0,0,0,3,4
A Taide,2024-2024,1,1,0,46,46,46,27,170.37,0,0,0,5,2
A Manohar,2025-2025,4,3,0,45,43,15,44,102.27,0,0,1,2,3
AD Russell,2012-2023,5,4,0,45,24,11.25,33,136.36,0,0,0,2,4
Rashid Khan,2017-2025,22,10,3,43,17*,6.14,26,165.38,0,0,4,2,4
Anmolpreet Singh,2023-2024,2,2,0,41,36,20.5,32,128.12,0,0,0,8,0
GJ Bailey,2014-2015,2,2,1,41,35*,41,30,136.66,0,0,0,2,3
C Munro,2019-2019,1,1,0,40,40,40,24,166.66,0,0,0,4,3
LRPL Taylor,2011-2013,2,2,1,40,21*,40,33,121.21,0,0,0,1,2
AD Mathews,2013-2017,2,2,1,39,31,39,29,134.48,0,0,0,3,1
SP Goswami,2008-2018,3,2,0,38,35,19,29,131.03,0,0,0,4,1
Mohammad Nabi,2017-2019,6,4,0,37,20,9.25,29,127.58,0,0,0,1,3
SS Tiwary,2011-2016,3,3,1,37,30,18.5,37,100,0,0,0,1,1
P Arya,2025-2025,1,1,0,36,36,36,13,276.92,0,0,0,2,4
ST Jayasuriya,2008-2008,1,1,0,36,36,36,15,240,0,0,0,6,2
JM Sharma,2023-2024,2,2,1,36,32*,36,24,150,0,0,0,3,2
AS Yadav,2008-2008,4,4,0,36,16,9,25,144,0,0,1,5,1
SE Rutherford,2025-2025,1,1,1,35,35*,-,16,218.75,0,0,0,6,1
JD Ryder,2011-2011,1,1,0,35,35,35,20,175,0,0,0,5,2
SB Dubey,2025-2025,1,1,1,34,34*,-,11,309.09,0,0,0,1,4
M Kaif,2008-2008,1,1,0,34,34,34,16,212.5,0,0,0,2,3
Misbah-ul-Haq,2008-2008,1,1,0,34,34,34,28,121.42,0,0,0,4,1
DJ Jacobs,2011-2011,1,1,0,32,32,32,20,160,0,0,0,5,1
Sachin Baby,2013-2017,3,3,0,31,27,10.33,26,119.23,0,0,0,3,1
Naman Dhir,2024-2025,2,1,0,30,30,30,14,214.28,0,0,0,2,2
E Lewis,2018-2018,1,1,0,29,29,29,17,170.58,0,0,0,3,2
WG Jacks,2024-2025,2,2,0,28,22,14,28,100,0,0,0,2,1
OA Shah,2012-2012,1,1,0,28,28,28,32,87.5,0,0,0,1,0
B Akhil,2008-2008,1,1,1,27,27*,-,7,385.71,0,0,0,2,3
PP Chawla,2008-2024,10,2,0,27,23,13.5,23,117.39,0,0,0,2,2
R Powell,2024-2024,1,1,0,27,27,27,15,180,0,0,0,3,1
N Wadhera,2023-2025,2,1,0,27,27,27,22,122.72,0,0,0,2,1
STR Binny,2011-2017,4,3,0,26,11,8.66,26,100,0,0,0,2,1
KK Cooper,2013-2013,1,1,0,26,26,26,12,216.66,0,0,0,3,1
RD Gaikwad,2024-2024,1,1,0,26,26,26,21,123.8,0,0,0,3,1
Shahid Afridi,2008-2008,5,5,0,26,13,5.2,21,123.8,0,0,1,2,2
RN ten Doeschate,2013-2014,2,2,1,26,25*,26,20,130,0,0,0,2,1
BCJ Cutting,2017-2018,3,2,1,25,16*,25,15,166.66,0,0,0,1,2
IR Jaggi,2011-2011,1,1,0,25,25,25,28,89.28,0,0,0,3,0
CA Pujara,2011-2011,1,1,0,25,25,25,15,166.66,0,0,0,4,0
SB Styris,2008-2008,2,2,0,25,20,12.5,31,80.64,0,0,0,3,0
A Chopra,2008-2008,1,1,0,24,24,24,23,104.34,0,0,0,3,0
BB McCullum,2015-2017,3,3,0,24,12,8,34,70.58,0,0,0,3,0
RP Singh,2008-2008,7,6,4,23,10,11.5,17,135.29,0,0,0,2,1
SM Curran,2023-2023,1,1,0,22,22,22,15,146.66,0,0,0,3,1
NS Naik,2016-2016,1,1,0,22,22,22,28,78.57,0,0,0,1,0
SK Warne,2008-2011,2,1,1,22,22*,-,9,244.44,0,0,0,2,2
M Jansen,2023-2025,6,4,2,21,13,10.5,18,116.66,0,0,0,3,0
WPUJC Vaas,2008-2008,4,3,1,21,12*,10.5,17,123.52,0,0,1,0,1
Gurkeerat Singh,2013-2015,2,2,0,20,17,10,17,117.64,0,0,0,1,1
P Kumar,2011-2017,8,4,3,20,7*,20,23,86.95,0,0,0,1,0
AL Menaria,2011-2012,2,1,0,20,20,20,17,117.64,0,0,0,1,1
AG Paunikar,2011-2011,1,1,0,20,20,20,19,105.26,0,0,0,4,0
AA Jhunjhunwala,2012-2012,1,1,0,19,19,19,20,95,0,0,0,0,1
P Ray Barman,2019-2019,1,1,0,19,19,19,24,79.16,0,0,0,2,0
Umran Malik,2023-2024,4,1,1,19,19*,-,8,237.5,0,0,0,1,2
Azhar Mahmood,2012-2013,2,2,0,18,14,9,13,138.46,0,0,0,3,0
S Gopal,2018-2019,2,1,0,18,18,18,18,100,0,0,0,2,0
HV Patel,2012-2025,9,3,3,18,12*,-,17,105.88,0,0,0,0,0
AU Rashid,2023-2023,1,1,0,18,18,18,13,138.46,0,0,0,1,1
UBT Chand,2013-2013,1,1,0,17,17,17,24,70.83,0,0,0,3,0
JR Hopes,2011-2011,1,1,1,17,17*,-,10,170,0,0,0,2,0
LPC Silva,2008-2008,2,2,0,17,17,8.5,16,106.25,0,0,1,3,0
TM Dilshan,2011-2013,3,3,0,16,7,5.33,29,55.17,0,0,0,1,0
SP Jackson,2017-2017,1,1,0,16,16,16,17,94.11,0,0,0,1,0
UT Yadav,2013-2019,6,2,1,16,14,16,14,114.28,0,0,0,1,1
MS Bisla,2013-2013,1,1,0,15,15,15,18,83.33,0,0,0,3,0
CJ Ferguson,2011-2011,1,1,1,15,15*,-,8,187.5,0,0,0,3,0
P Negi,2015-2015,1,1,0,15,15,15,11,136.36,0,0,0,1,1
RR Sarwan,2008-2008,1,1,0,15,15,15,15,100,0,0,0,2,0
R Shepherd,2024-2024,1,1,1,15,15*,-,6,250,0,0,0,2,1
SP Fleming,2008-2008,1,1,0,14,14,14,9,155.55,0,0,0,3,0
LR Shukla,2008-2008,1,1,1,14,14*,-,3,466.66,0,0,0,2,0
R Vinay Kumar,2008-2015,4,2,0,14,7,7,11,127.27,0,0,0,2,0
SB Bangar,2008-2008,5,4,0,13,8,3.25,26,50,0,0,1,0,0
Basil Thampi,2017-2018,2,1,1,13,13*,-,8,162.5,0,0,0,0,1
SW Billings,2017-2019,3,2,0,13,13,6.5,13,100,0,0,1,3,0
Bipul Sharma,2015-2017,9,2,0,13,8,6.5,12,108.33,0,0,0,0,0
MG Johnson,2013-2017,3,1,1,13,13*,-,14,92.85,0,0,0,0,1
DJ Mitchell,2024-2024,1,1,0,13,13,13,11,118.18,0,0,0,1,0
GD Phillips,2023-2023,3,3,0,13,8,4.33,11,118.18,0,0,1,1,1
AS Roy,2023-2023,1,1,1,13,13*,-,7,185.71,0,0,0,2,0
MM Ali,2018-2024,3,2,0,12,10,6,15,80,0,0,0,2,0
Kamran Akmal,2008-2008,1,1,0,12,12,12,9,133.33,0,0,0,1,1
JA Morkel,2008-2008,1,1,1,12,12*,-,12,100,0,0,0,1,0
S Rana,2014-2014,1,1,1,12,12*,-,7,171.42,0,0,0,2,0
R Ravindra,2024-2024,1,1,0,12,12,12,9,133.33,0,0,0,2,0
Swapnil Singh,2024-2024,1,1,0,12,12,12,6,200,0,0,0,1,1
BMAJ Mendis,2013-2013,1,1,0,11,11,11,9,122.22,0,0,0,0,0
RD Rickelton,2025-2025,1,1,0,11,11,11,8,137.5,0,0,0,2,0
Sandeep Sharma,2014-2025,18,5,3,11,5*,5.5,10,110,0,0,2,1,0
DNT Zoysa,2008-2008,2,2,1,11,10*,11,9,122.22,0,0,0,1,0
KC Cariappa,2017-2019,2,2,1,10,9*,10,8,125,0,0,0,0,1
RD Chahar,2019-2024,4,3,0,10,10,3.33,17,58.82,0,0,2,2,0
SN Khan,2015-2023,2,2,1,10,10,10,9,111.11,0,0,0,0,1
Mujeeb Ur Rahman,2018-2019,2,2,1,10,10*,10,8,125,0,0,1,2,0
Parvez Rasool,2014-2016,2,1,0,10,10,10,9,111.11,0,0,0,1,0
PR Shah,2008-2008,1,1,0,10,10,10,6,166.66,0,0,0,2,0
MM Sharma,2013-2017,4,1,0,10,10,10,5,200,0,0,0,0,1
SN Thakur,2017-2025,7,3,0,10,8,3.33,9,111.11,0,0,1,1,0
JD Unadkat,2011-2025,13,4,3,10,8*,10,13,76.92,0,0,0,1,0
M Markande,2018-2024,9,3,3,9,6*,-,7,128.57,0,0,0,1,0
T Taibu,2008-2008,1,1,0,9,9,9,5,180,0,0,0,1,0
BJ Hodge,2013-2013,1,1,0,8,8,8,7,114.28,0,0,0,1,0
Mohammed Shami,2013-2025,7,3,2,8,6*,8,6,133.33,0,0,0,1,0
AS Rajpoot,2018-2018,1,1,0,8,8,8,9,88.88,0,0,0,1,0
AP Tare,2014-2016,3,2,0,8,8,4,15,53.33,0,0,1,1,0
DJ Thornely,2008-2008,1,1,0,8,8,8,18,44.44,0,0,0,0,0
R Ashwin,2013-2024,6,4,2,7,4,3.5,11,63.63,0,0,1,0,0
RK Bhui,2018-2019,2,2,0,7,7,3.5,17,41.17,0,0,1,0,0
VR Iyer,2023-2023,1,1,0,7,7,7,4,175,0,0,0,1,0
MK Lomror,2023-2024,2,1,0,7,7,7,4,175,0,0,0,1,0
I Malhotra,2011-2011,1,1,1,7,7*,-,4,175,0,0,0,1,0
Y Nagar,2011-2012,2,1,1,7,7*,-,3,233.33,0,0,0,0,1
KMA Paul,2019-2019,1,1,0,7,7,7,4,175,0,0,0,0,1
J Theron,2012-2012,1,1,1,7,7*,-,6,116.66,0,0,0,1,0
SD Chitnis,2012-2012,1,1,1,6,6*,-,5,120,0,0,0,0,0
A Choudhary,2017-2017,1,1,1,6,6*,-,2,300,0,0,0,0,1
JP Faulkner,2013-2013,1,1,0,6,6,6,3,200,0,0,0,0,1
TS Mills,2017-2017,1,1,0,6,6,6,3,200,0,0,0,0,1
Sanvir Singh,2024-2024,2,1,1,6,6*,-,4,150,0,0,0,1,0
MA Starc,2014-2015,2,1,0,6,6,6,6,100,0,0,0,1,0
CR Woakes,2017-2017,1,1,1,6,6*,-,3,200,0,0,0,1,0
P Dogra,2013-2013,1,1,0,5,5,5,8,62.5,0,0,0,0,0
W Jaffer,2008-2008,1,1,0,5,5,5,5,100,0,0,0,1,0
AD Mascarenhas,2013-2013,1,1,1,5,5*,-,5,100,0,0,0,0,0
RV Patel,2023-2023,1,1,0,5,5,5,6,83.33,0,0,0,0,0
B Sai Sudharsan,2025-2025,1,1,0,5,5,5,9,55.55,0,0,0,0,0
MN Samuels,2013-2013,1,1,0,5,5,5,9,55.55,0,0,0,1,0
I Sharma,2008-2025,20,6,5,5,2,5,9,55.55,0,0,0,0,0
Sikandar Raza,2023-2023,1,1,0,5,5,5,6,83.33,0,0,0,0,0
B Stanlake,2018-2018,3,1,1,5,5*,-,2,250,0,0,0,1,0
YV Takawale,2008-2008,1,1,1,5,5*,-,5,100,0,0,0,0,0
Aman Hakim Khan,2023-2023,1,1,0,4,4,4,2,200,0,0,0,1,0
TR Birt,2011-2011,1,1,0,4,4,4,8,50,0,0,0,0,0
MG Bracewell,2023-2023,1,1,1,4,4*,-,4,100,0,0,0,0,0
JJ Bumrah,2014-2025,9,2,2,4,4*,-,5,80,0,0,0,0,0
YS Chahal,2014-2025,8,2,0,4,3,2,10,40,0,0,0,0,0
Kuldeep Yadav,2017-2023,3,1,1,4,4*,-,3,133.33,0,0,0,1,0
DS Kulkarni,2013-2019,5,2,1,4,3*,4,6,66.66,0,0,0,0,0
CH Morris,2013-2019,4,2,1,4,4,4,8,50,0,0,0,0,0
Pankaj Singh,2008-2008,1,1,1,4,4*,-,3,133.33,0,0,0,0,0
Salman Butt,2008-2008,1,1,0,4,4,4,4,100,0,0,0,1,0
M Shahrukh Khan,2023-2025,2,1,0,4,4,4,3,133.33,0,0,0,1,0
Shashank Singh,2024-2025,2,2,0,4,2,2,7,57.14,0,0,0,0,0
DJM Short,2018-2018,1,1,0,4,4,4,4,100,0,0,0,1,0
AJ Tye,2018-2018,1,1,0,4,4,4,2,200,0,0,0,1,0
CR Brathwaite,2018-2018,1,1,0,3,3,3,4,75,0,0,0,0,0
R Dhawan,2014-2024,3,1,1,3,3*,-,2,150,0,0,0,0,0
D Kalyankrishna,2008-2008,2,1,0,3,3,3,8,37.5,0,0,0,0,0
Mohammed Siraj,2017-2025,8,1,1,3,3*,-,8,37.5,0,0,0,0,0
R Ninan,2011-2011,1,1,0,3,3,3,6,50,0,0,0,0,0
Simarjeet Singh,2025-2025,3,2,1,3,3*,3,6,50,0,0,1,0,0
BB Sran,2016-2018,8,2,1,3,2,3,6,50,0,0,0,0,0
PV Tambe,2013-2013,1,1,1,3,3*,-,6,50,0,0,0,0,0
DL Vettori,2011-2011,1,1,1,3,3*,-,6,50,0,0,0,0,0
S Aravind,2011-2017,2,2,1,2,2*,2,5,40,0,0,1,0,0
VG Arora,2023-2023,1,1,1,2,2*,-,1,200,0,0,0,0,0
H Das,2008-2008,1,1,0,2,2,2,5,40,0,0,0,0,0
MJ Guptill,2016-2016,1,1,0,2,2,2,4,50,0,0,0,0,0
Harbhajan Singh,2011-2019,7,2,2,2,1*,-,6,33.33,0,0,0,0,0
Iqbal Abdulla,2011-2013,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
M Kartik,2008-2013,2,1,1,2,2*,-,2,100,0,0,0,0,0
MJ McClenaghan,2015-2019,4,2,1,2,2*,2,3,66.66,0,0,1,0,0
KR Mayers,2023-2023,1,1,0,2,2,2,14,14.28,0,0,0,0,0
A Nortje,2023-2023,1,1,0,2,2,2,2,100,0,0,0,0,0
D Padikkal,2023-2023,1,1,0,2,2,2,5,40,0,0,0,0,0
K Rabada,2019-2019,1,1,1,2,2*,-,2,100,0,0,0,0,0
N Saini,2012-2012,1,1,0,2,2,2,4,50,0,0,0,0,0
AR Sharma,2024-2024,1,1,0,2,2,2,3,66.66,0,0,0,0,0
Shivam Singh,2024-2024,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
JC Archer,2019-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0
M Ashwin,2016-2019,2,1,1,1,1*,-,1,100,0,0,0,0,0
CM Gautam,2014-2014,1,1,0,1,1,1,3,33.33,0,0,0,0,0
Harpreet Brar,2023-2024,2,1,0,1,1,1,2,50,0,0,0,0,0
S Kaul,2017-2019,15,5,2,1,1,0.33,8,12.5,0,0,2,0,0
B Laughlin,2018-2018,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
PHKD Mendis,2025-2025,1,1,0,1,1,1,5,20,0,0,0,0,0
Mohit Rathee,2023-2023,1,1,1,1,1*,-,2,50,0,0,0,0,0
A Nehra,2008-2017,10,4,3,1,1*,1,2,50,0,0,1,0,0
PP Ojha,2008-2014,12,1,1,1,1*,-,1,100,0,0,0,0,0
RR Raje,2008-2008,1,1,1,1,1*,-,2,50,0,0,0,0,0
D Salunkhe,2008-2008,1,1,0,1,1,1,1,100,0,0,0,0,0
MW Short,2023-2023,1,1,0,1,1,1,3,33.33,0,0,0,0,0
KK Ahmed,2019-2019,4,1,0,0,0,0,1,0,0,0,1,0,0
HM Amla,2017-2017,1,1,0,0,0,0,1,0,0,0,1,0,0
KB Arun Karthik,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
MV Boucher,2011-2011,1,1,1,0,0*,-,0,-,0,0,0,0,0
A Chandila,2012-2012,1,1,1,0,0*,-,1,0,0,0,0,0,0
AB Dinda,2008-2016,4,1,0,0,0,0,2,0,0,0,1,0,0
NT Ellis,2023-2023,1,1,0,0,0,0,5,0,0,0,1,0,0
MS Gony,2008-2013,7,2,0,0,0,0,1,0,0,0,2,0,0
K Gowtham,2018-2024,3,1,0,0,0,0,2,0,0,0,1,0,0
Harshit Rana,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
BE Hendricks,2015-2015,1,1,1,0,0*,-,0,-,0,0,0,0,0
AS Joseph,2019-2019,1,1,1,0,0*,-,0,-,0,0,0,0,0
Z Khan,2011-2017,3,2,0,0,0,0,7,0,0,0,2,0,0
M Muralidaran,2008-2014,4,1,0,0,0,0,1,0,0,0,1,0,0
S Nadeem,2012-2019,5,1,0,0,0,0,3,0,0,0,1,0,0
P Parameswaran,2012-2012,1,1,1,0,0*,-,1,0,0,0,0,0,0
Y Prithvi Raj,2019-2019,1,1,1,0,0*,-,1,0,0,0,0,0,0
Rahmanullah Gurbaz,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
PD Salt,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
PJ Sangwan,2013-2018,3,1,0,0,0,0,4,0,0,0,1,0,0
R Sharma,2011-2013,2,1,0,0,0,0,1,0,0,0,1,0,0
SK Trivedi,2008-2013,4,1,1,0,0*,-,1,0,0,0,0,0,0
JJ van der Wath,2011-2011,1,1,0,0,0,0,1,0,0,0,1,0,0
DP Vijaykumar,2008-2008,4,1,1,0,0*,-,0,-,0,0,0,0,0
VR Aaron,2012-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
KJ Abbott,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
AB Agarkar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
AN Ahmed,2011-2014,2,-,-,-,-,-,-,-,-,-,-,-,-
Anand Rajan,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
CJ Anderson,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
Ankit Sharma,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
Anuj Rawat,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Anureet Singh,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
Arshdeep Singh,2019-2025,4,-,-,-,-,-,-,-,-,-,-,-,-
KM Asif,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Avesh Khan,2018-2025,4,-,-,-,-,-,-,-,-,-,-,-,-
P Awana,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
S Badrinath,2008-2013,2,-,-,-,-,-,-,-,-,-,-,-,-
L Balaji,2008-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
JP Behrendorff,2019-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
R Bhatia,2008-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
TA Boult,2015-2025,6,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,2018-2025,5,-,-,-,-,-,-,-,-,-,-,-,-
G Coetzee,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
NM Coulter-Nile,2016-2017,2,-,-,-,-,-,-,-,-,-,-,-,-
MJ Dagar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
TU Deshpande,2024-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
Fazalhaq Farooqi,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
LH Ferguson,2017-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
CRD Fernando,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
Gagandeep Singh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
K Goel,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
HF Gurney,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
RJ Harris,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
JO Holder,2013-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
Imran Tahir,2017-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
Kartik Tyagi,2023-2023,2,-,-,-,-,-,-,-,-,-,-,-,-
S Kaushik,2016-2017,2,-,-,-,-,-,-,-,-,-,-,-,-
A Kumble,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
B Lee,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
GD McGrath,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
R McLaren,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
MF Maharoof,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
VY Mahesh,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
VS Malik,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
E Malinga,2025-2025,2,-,-,-,-,-,-,-,-,-,-,-,-
SL Malinga,2011-2019,7,-,-,-,-,-,-,-,-,-,-,-,-
KT Maphaka,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
RP Meredith,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Mohammad Asif,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
RG More,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-
M Morkel,2011-2016,4,-,-,-,-,-,-,-,-,-,-,-,-
Mukesh Choudhary,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Mukesh Kumar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
